;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 16;;;;;;;;;;;;;;;;;1552,384;3007,215;8620,806;2828,423;340,427;118,301;3495,531;1408,254;92,233;107,426;221,386;4554,728;2431,077;872,335;1728,678;655,308;211,009;91,857;513,992;3100,981;10171,363;15319,984;5535,654;730,824;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;51,065;-25,382;8,561;153,186;111,857;159,516;24,575;4,877;-2,506;35,176;728,039;152,240;609,776;762,572;-6,301;16,720;18,558;13,998;59,735;87,184;598,253;217,658;131,486;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-40,459;25,680;222,937;233,636;31,861;28,312;11,474;80,141;26,660;116,912;473,902;1171,242;1567,580;-8,331;114,242;162,812;40,913;358,198;519,365;1451,512;142,984;375,302;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;162,133;259,493;140,743;12,768;49,078;6,883;-4,353;54,105;102,202;1923,940;665,060;1407,755;-17,887;177,691;60,815;11,120;39,906;1822,368;1407,522;760,122;770,682;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;165,675;142,172;204,319;48,570;-20,613;2,667;21,444;440,106;1094,114;291,052;995,418;-13,740;126,187;4,767;9,178;60,650;1214,455;772,187;456,414;691,938;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;-47,155;334,812;43,874;-17,041;47,566;10,989;121,367;66,472;18,359;-8,284;1,145;-1,280;12,525;10,511;-9,559;39,719;29,685;5,452;-30,055;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;298,928;101,986;857,807;7,119;12,520;110,064;-7,375;-2,063;29,445;2,524;3,385;12,444;2,466;-11,002;-54,189;-16,676;-20,906;-0,693;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;329,533;14,740;48,177;43,427;1736,608;279,004;229,165;521,435;2,782;91,435;17,505;126,432;328,053;786,712;1217,401;478,550;314,883;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;12,334;104,478;25,373;109,637;77,488;187,096;345,343;-3,246;-0,323;14,216;0,162;193,601;74,579;837,110;25,726;156,722;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-14,282;-3,031;-26,777;3,592;5,601;0,660;-7,205;-2,474;5,093;-2,071;9,566;-3,656;58,067;13,181;-3,195;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;1,996;10,088;-9,956;26,371;20,849;-5,181;15,352;-6,342;0,631;4,066;44,772;63,469;29,394;0,991;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4,546;469,629;46,183;84,748;51,604;2,554;9,754;1,017;7,574;107,848;9,736;9,340;43,329;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;851,030;580,601;1016,369;36,963;67,403;34,686;13,902;10,603;1395,080;1833,915;400,711;431,594;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91,600;303,264;29,683;45,630;30,755;-0,051;16,970;166,966;78,510;125,346;168,840;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5307,208;37,680;12,357;9,728;3,065;-6,957;128,438;-2,597;20,786;6,011;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138,447;14,770;-3,525;-1,783;-3,579;217,123;13,880;60,689;5535,318;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,779;1,076;-4,194;-3,364;158,422;124,080;69,185;88,509;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,978;3,548;2,486;-12,827;15,492;2,110;9,323;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,999;-8,166;3,010;-12,093;-23,316;-9,830;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,487;-12,041;33,272;7,722;-3,035;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-19,453;62,070;-1,908;0,359;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,317;5,982;48,393;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-64,368;-22,585;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-26,012;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
